year,month,foreign_labor,foreign_labor_one_month_percent_change,foreign_unemploy_rate,foreign_unemploy_one_month_percent_cahnge,native_labor,native_labor_one_month_percent_change,native_unemploy_rate,native_unemploy_one_month_percent_change,,,
2010,M01,23924,0,11.8,7.3,129032,0.2,10.3,9.6,,,
2010,M02,23854,-0.3,11.5,-2.5,129341,0.2,10.2,-1,,,
2010,M03,23855,0,11,-4.3,129805,0.4,10.1,-1,,,
2010,M04,23916,0.3,8.8,-20,129995,0.1,9.6,-5,,,
2010,M05,24210,1.2,8.6,-2.3,129656,-0.3,9.5,-1,,,
2010,M06,24688,2,8.7,1.2,130079,0.3,9.8,3.2,,,
2010,M07,24586,-0.4,9.5,9.2,130684,0.5,9.8,0,,,
2010,M08,24644,0.2,9,-5.3,130034,-0.5,9.6,-2,,,
2010,M09,24488,-0.6,9.2,2.2,129366,-0.5,9.2,-4.2,,,
2010,M10,24530,0.2,9.2,0,129122,-0.2,9,-2.2,,,
2010,M11,24788,1.1,9.7,5.4,128909,-0.2,9.2,2.2,,,
2010,M12,24783,0,10.6,9.3,128373,-0.4,8.9,-3.3,,,
2011,M01,24517,-1.1,10.6,0,128019,-0.3,9.6,7.9,,,
2011,M02,23958,-2.3,9.8,-7.5,128676,0.5,9.5,-1,,,
2011,M03,24034,0.3,9.6,-2,128988,0.2,9.1,-4.2,,,
2011,M04,23915,-0.5,9.1,-5.2,128984,0,8.6,-5.5,,,
2011,M05,24253,1.4,8.4,-7.7,129196,0.2,8.8,2.3,,,
2011,M06,24294,0.2,8.4,0,130244,0.8,9.5,8,,,
2011,M07,24516,0.9,9.2,9.5,130296,0,9.3,-2.1,,,
2011,M08,24377,-0.6,8.6,-6.5,129966,-0.3,9.2,-1.1,,,
2011,M09,24447,0.3,9.1,5.8,129575,-0.3,8.7,-5.4,,,
2011,M10,24849,1.6,8.9,-2.2,129239,-0.3,8.4,-3.4,,,
2011,M11,24696,-0.6,8.4,-5.6,128987,-0.2,8.2,-2.4,,,
2011,M12,24836,0.6,8.8,4.8,128536,-0.3,8.2,0,,,
2012,M01,25156,1.3,9.4,6.8,128329,-0.2,8.7,6.1,,,
2012,M02,24826,-1.3,9.5,1.1,129288,0.7,8.6,-1.1,,,
2012,M03,24958,0.5,8.7,-8.4,129358,0.1,8.3,-3.5,,,
2012,M04,24460,-2,7.5,-13.8,129444,0.1,7.8,-6,,,
2012,M05,24878,1.7,7.4,-1.3,130120,0.5,8,2.6,,,
2012,M06,25009,0.5,8.1,9.5,131377,1,8.5,6.3,,,
2012,M07,25180,0.7,7.8,-3.7,131346,0,8.7,2.4,,,
2012,M08,24998,-0.7,7.7,-1.3,130257,-0.8,8.3,-4.6,,,
2012,M09,25116,0.5,7.6,-1.3,129958,-0.2,7.6,-8.4,,,
2012,M10,25268,0.6,7.4,-2.6,130511,0.4,7.6,0,,,
2012,M11,25217,-0.2,7.7,4.1,129737,-0.6,7.3,-3.9,,,
2012,M12,25248,0.1,8,3.9,129656,-0.1,7.6,4.1,,,
2013,M01,25240,0,8.5,6.3,129555,-0.1,8.5,11.8,,,
2013,M02,25242,0,8.2,-3.5,129486,-0.1,8,-5.9,,,
2013,M03,25061,-0.7,7.4,-9.8,129451,0,7.7,-3.8,,,
2013,M04,24982,-0.3,6.8,-8.1,129757,0.2,7.2,-6.5,,,
2013,M05,24958,-0.1,6.3,-7.4,130776,0.8,7.4,2.8,,,
2013,M06,25305,1.4,6.5,3.2,131785,0.8,8.1,9.5,,,
2013,M07,25382,0.3,6.7,3.1,131814,0,7.9,-2.5,,,
2013,M08,25540,0.6,6.7,0,130431,-1,7.5,-5.1,,,
2013,M09,25713,0.7,6.5,-3,129823,-0.5,7.1,-5.3,,,
2013,M10,25507,-0.8,6.4,-1.5,129410,-0.3,7.1,0,,,
2013,M11,25579,0.3,6.3,-1.6,129467,0,6.7,-5.6,,,
2013,M12,25429,-0.6,6.5,3.2,128979,-0.4,6.5,-3,,,
2014,M01,25139,-1.1,6.7,3.1,129241,0.2,7.1,9.2,,,
2014,M02,25421,1.1,6.9,3,129606,0.3,7,-1.4,,,
2014,M03,25474,0.2,6.5,-5.8,130154,0.4,6.8,-2.9,,,
2014,M04,25127,-1.4,5.6,-13.8,129718,-0.3,5.9,-13.2,,,
2014,M05,25392,1.1,5.6,0,130448,0.6,6.2,5.1,,,
2014,M06,25389,0,5.3,-5.4,131608,0.9,6.5,4.8,,,
2014,M07,25411,0.1,5.2,-1.9,132162,0.4,6.8,4.6,,,
2014,M08,26046,2.5,5.4,3.8,130388,-1.3,6.4,-5.9,,,
2014,M09,26238,0.7,4.6,-14.8,129666,-0.6,6,-6.3,,,
2014,M10,26364,0.5,5.2,13,130252,0.5,5.6,-6.7,,,
2014,M11,26536,0.7,5.4,3.8,129760,-0.4,5.6,0,,,
2014,M12,26286,-0.9,5.3,-1.9,129235,-0.4,5.4,-3.6,,,
2015,M01,26073,-0.8,5.8,9.4,129977,0.6,6.1,13,,,
2015,M02,26276,0.8,5.8,0,129937,0,5.8,-4.9,,,
2015,M03,26328,0.2,5.3,-8.6,129990,0,5.6,-3.4,,,
2015,M04,26103,-0.9,4.9,-7.5,130451,0.4,5.1,-8.9,,,
2015,M05,26331,0.9,4.7,-4.1,131388,0.7,5.4,5.9,,,
2015,M06,26100,-0.9,4.9,4.3,132183,0.6,5.6,3.7,,,
2015,M07,26079,-0.1,5.2,6.1,132448,0.2,5.6,0,,,
2015,M08,26056,-0.1,4.4,-15.4,131334,-0.8,5.3,-5.4,,,
2015,M09,26132,0.3,4.6,4.5,130475,-0.7,4.9,-7.5,,,
2015,M10,26267,0.5,4.4,-4.3,131047,0.4,4.9,0,,,
2015,M11,26665,1.5,4.4,0,130675,-0.3,4.9,0,,,
2015,M12,26681,0.1,4.7,6.8,130564,-0.1,4.8,-2,,,
2016,M01,26681,0,5.1,8.5,130665,0.1,5.3,10.4,,,
2016,M02,26602,-0.3,4.6,-9.8,131677,0.8,5.3,0,,,
2016,M03,27029,1.6,4.8,4.3,131825,0.1,5.2,-1.9,,,
2016,M04,26596,-1.6,4.3,-10.4,131891,0.1,4.8,-7.7,,,
2016,M05,26243,-1.3,3.7,-14,132557,0.5,4.7,-2.1,,,
2016,M06,26936,2.6,4,8.1,133198,0.5,5.3,12.8,,,
2016,M07,27132,0.7,4.2,5,133572,0.3,5.3,0,,,
2016,M08,27336,0.8,4.4,4.8,132464,-0.8,5.1,-3.8,,,
2016,M09,27345,0,4.4,0,132291,-0.1,4.9,-3.9,,,
2016,M10,27060,-1,4,-9.1,132722,0.3,4.8,-2,,,
2016,M11,27384,1.2,4.3,7.5,132068,-0.5,4.5,-6.3,,,
2016,M12,27062,-1.2,4.4,2.3,131906,-0.1,4.5,0,,,
2017,M01,27144,0.3,5.2,18.2,131532,-0.3,5.1,13.3,,,
2017,M02,27049,-0.3,5,-3.8,132432,0.7,4.9,-3.9,,,
2017,M03,27062,0,4.5,-10,132850,0.3,4.6,-6.1,,,
2017,M04,27402,1.3,3.8,-15.6,132415,-0.3,4.2,-8.7,,,
2017,M05,27315,-0.3,3.8,0,132664,0.2,4.2,0,,,
2017,M06,27540,0.8,3.7,-2.6,133796,0.9,4.7,11.9,,,
2017,M07,27536,0,4,8.1,134375,0.4,4.7,0,,,
2017,M08,27673,0.5,4.2,5,133190,-0.9,4.6,-2.1,,,
2017,M09,27846,0.6,3.9,-7.1,133203,0,4.1,-10.9,,,
2017,M10,27374,-1.7,3.8,-2.6,133091,-0.1,3.9,-4.9,,,
2017,M11,27395,0.1,3.4,-10.5,133071,0,4,2.6,,,
2017,M12,27143,-0.9,3.9,14.7,132736,-0.3,3.9,-2.5,,,
2018,M01,27754,2.3,4.7,20.5,132283,-0.3,4.5,15.4,,,
2018,M02,28218,1.7,4,-14.9,133276,0.8,4.5,0,,,
2018,M03,28441,0.8,4.1,2.5,133107,-0.1,4.1,-8.9,,,
2018,M04,28266,-0.6,3.4,-17.1,133014,-0.1,3.7,-9.8,,,
2018,M05,27923,-1.2,3,-11.8,133842,0.6,3.7,0,,,
2018,M06,28115,0.7,3.5,16.7,135162,1,4.3,16.2,,,
2018,M07,27858,-0.9,3.3,-5.7,135876,0.5,4.3,0,,,
2018,M08,28053,0.7,3.4,3,133856,-1.5,4.1,-4.7,,,
2018,M09,28315,0.9,3,-11.8,133642,-0.2,3.7,-9.8,,,
2018,M10,28410,0.3,3.1,3.3,134313,0.5,3.6,-2.7,,,
2018,M11,28717,1.1,3.2,3.2,133948,-0.3,3.5,-2.8,,,
2018,M12,28359,-1.2,3.4,6.3,134151,0.2,3.8,8.6,,,
2019,M01,28686,1.2,4.5,32.4,133419,-0.5,4.4,15.8,,,
2019,M02,28892,0.7,3.7,-17.8,133901,0.4,4.1,-6.8,,,
2019,M03,28893,0,3.9,5.4,133930,0,3.9,-4.9,,,
2019,M04,28439,-1.6,2.7,-30.8,133657,-0.2,3.4,-12.8,,,
2019,M05,28473,0.1,2.8,3.7,134182,0.4,3.5,2.9,,,
2019,M06,28421,-0.2,2.7,-3.6,135699,1.1,4.1,17.1,,,
2019,M07,27982,-1.5,3,11.1,136959,0.9,4.2,2.4,,,
2019,M08,28153,0.6,3.1,3.3,135866,-0.8,3.9,-7.1,,,
2019,M09,28121,-0.1,2.6,-16.1,135822,0,3.5,-10.3,,,
2019,M10,28067,-0.2,2.6,0,136509,0.5,3.5,0,,,
2019,M11,28468,1.4,2.7,3.8,135918,-0.4,3.4,-2.9,,,
2019,M12,28086,-1.3,3.1,14.8,135921,0,3.4,0,,,
2020,M01,28189,0.4,4,29,135308,-0.5,4,17.6,,,
2020,M02,28719,1.9,3.6,-10,135516,0.2,3.8,-5,,,
2020,M03,27819,-3.1,4.8,33.3,134718,-0.6,4.5,18.4,,,
2020,M04,26285,-5.5,16.5,243.8,129545,-3.8,14,211.1,,,211%
2020,M05,26622,1.3,15.7,-4.8,131353,1.4,12.4,-11.4,,,
2020,M06,26823,0.8,13.8,-12.1,134060,2.1,10.7,-13.7,,,
2020,M07,27349,2,12.4,-10.1,134025,0,10.1,-5.6,,,
2020,M08,27325,-0.1,10.2,-17.7,133641,-0.3,8.2,-18.8,,,
2020,M09,26712,-2.2,8.6,-15.7,133361,-0.2,7.5,-8.5,,,
2020,M10,26919,0.8,7.6,-11.6,134134,0.6,6.4,-14.7,,,
2020,M11,27494,2.1,6.7,-11.8,132973,-0.9,6.3,-1.6,,,
2020,M12,27529,0.1,7.3,9,132487,-0.4,6.3,0,,,
